Campaign,Header,Values
SD | Marca,Marcas,Porsche;Lamborghini;Mercedes-AMG;Audi;Range Rover;Volkswagen
SD | Genérico Lujo | BCN,Marcas,Porsche;Lamborghini;Mercedes-AMG;Audi;Range Rover;Volkswagen
SD | Por Marca | BCN,Marcas,Porsche;Lamborghini;Mercedes-AMG;Audi;Range Rover;Volkswagen
SD | Por Modelo Premium | BCN,Marcas,Porsche;Lamborghini;Mercedes-AMG;Audi;Range Rover;Volkswagen
SD | Por Modelo Económico | BCN,Marcas,Porsche;Lamborghini;Mercedes-AMG;Audi;Range Rover;Volkswagen
SD | Ocasiones | BCN,Marcas,Porsche;Lamborghini;Mercedes-AMG;Audi;Range Rover;Volkswagen
